NRRL_2536_metscf_305	NG_065587	182	94.505	2138	2319	229	151	7.68e-74	Mucor lanceolatus
NRRL_2536_metscf_305	NG_065076	182	94.505	2138	2319	206	151	7.68e-74	Rhizopus sp. HBL-2016
NRRL_2536_metscf_305	NG_062759	182	94.505	2138	2319	245	151	7.68e-74	Pilaira moreaui var. caucasica
NRRL_2536_metscf_305	NG_062623	182	94.505	2138	2319	242	151	7.68e-74	Rhizopus americanus
NRRL_2536_metscf_305	NG_063011	182	93.956	2138	2319	183	148	3.57e-72	Rhizopus sexualis
NRRL_2536_metscf_322	NG_062759	173	93.642	34338	34508	49	139	3.45e-67	Pilaira moreaui var. caucasica
NRRL_2536_metscf_322	NG_065587	173	92.486	34338	34508	34	132	2.69e-63	Mucor lanceolatus
NRRL_2536_metscf_322	NG_065589	173	91.329	34338	34508	34	126	5.82e-60	Mucor brunneogriseus
NRRL_2536_metscf_322	NG_065498	173	91.329	34338	34508	49	126	5.82e-60	Mucor racemosus
NRRL_2536_metscf_322	NG_061009	157	93.631	34338	34492	46	125	2.09e-59	Backusella circina
NRRL_2536_metscf_491	NG_062759	162	96.914	11335	11496	717	147	8.79e-72	Pilaira moreaui var. caucasica
NRRL_2536_metscf_491	NG_065599	162	94.444	11335	11496	717	135	4.12e-65	Mucor durus
NRRL_2536_metscf_491	NG_065587	160	94.375	11337	11496	705	133	5.33e-64	Mucor lanceolatus
NRRL_2536_metscf_491	NG_065660	160	94.375	11337	11496	703	133	5.33e-64	Mucor stercorarius
NRRL_2536_metscf_491	NG_065589	160	94.375	11337	11496	706	133	5.33e-64	Mucor brunneogriseus
NRRL_2536_metscf_556	NG_065591	124	96.774	1	124	1436	112	2.21e-52	Mucor circinelloides f. griseocyanus
NRRL_2536_metscf_556	NG_065589	124	95.968	1	124	1447	109	1.03e-50	Mucor brunneogriseus
NRRL_2536_metscf_556	NG_065498	124	95.968	1	124	1462	109	1.03e-50	Mucor racemosus
NRRL_2536_metscf_556	NG_065590	124	95.161	1	124	1430	106	4.79e-49	Mucor circinelloides f. lusitanicus
NRRL_2536_metscf_556	NG_062624	124	95.161	1	124	1453	106	4.79e-49	Rhizopus homothallicus
NRRL_2536_metscf_574	NG_065591	98	97.959	1691	1788	1483	92	2.80e-41	Mucor circinelloides f. griseocyanus
NRRL_2536_metscf_574	NG_063098	98	96.939	1691	1788	1426	89	1.30e-39	Benjaminiella youngii
NRRL_2536_metscf_574	NG_065589	98	96.939	1691	1788	1494	89	1.30e-39	Mucor brunneogriseus
NRRL_2536_metscf_574	NG_062624	98	96.939	1691	1788	1500	89	1.30e-39	Rhizopus homothallicus
NRRL_2536_metscf_574	NG_062623	98	96.939	1691	1788	1504	89	1.30e-39	Rhizopus americanus
NRRL_2536_metscf_756	NG_062759	88	98.864	1	88	161	85	1.40e-37	Pilaira moreaui var. caucasica
NRRL_2536_metscf_756	NG_061009	88	96.591	1	88	157	78	1.09e-33	Backusella circina
NRRL_2536_metscf_756	NG_062386	88	96.591	1	88	162	78	1.09e-33	Backusella variabilis
NRRL_2536_metscf_756	NG_065587	83	97.590	6	88	140	76	1.41e-32	Mucor lanceolatus
NRRL_2536_metscf_756	NG_065076	83	96.386	6	88	119	73	6.55e-31	Rhizopus sp. HBL-2016
NRRL_2536_metscf_948	NG_065587	1753	98.346	4355	6107	1752	1665	0.0	Mucor lanceolatus
NRRL_2536_metscf_948	NG_065498	1761	97.899	4363	6122	1760	1649	0.0	Mucor racemosus
NRRL_2536_metscf_948	NG_065589	1754	97.891	4355	6107	1753	1642	0.0	Mucor brunneogriseus
NRRL_2536_metscf_948	NG_065588	1748	97.540	4360	6107	1747	1618	0.0	Mucor circinelloides
NRRL_2536_metscf_948	NG_065581	1724	97.970	4399	6121	1722	1618	0.0	Mucor genevensis
NRRL_2536_metscf_2065	NG_064992	310	100.000	1	310	967	310	2.41e-164	Pecoramyces ruminatium
NRRL_2536_metscf_2065	NG_061113	306	94.771	1	306	892	258	1.94e-135	Thoreauomyces humboldtii
NRRL_2536_metscf_2065	NG_062391	306	94.444	1	306	893	255	9.04e-134	Fimicolochytrium alabamae
NRRL_2536_metscf_2065	NG_062849	306	94.444	1	306	941	255	9.04e-134	Spizellomyces plurigibbosus
NRRL_2536_metscf_2065	NG_064968	298	94.966	1	298	892	253	1.17e-132	Geranomyces tanneri
NRRL_2536_metscf_2460	NG_062683	222	83.333	6	225	1419	109	9.25e-53	Taphrina populina
NRRL_2536_metscf_2460	NG_061110	222	83.333	6	225	1433	108	3.33e-52	Acremonium recifei
NRRL_2536_metscf_2460	NG_063378	222	82.883	6	225	1399	105	1.55e-50	Candida ogatae
NRRL_2536_metscf_2460	NG_063316	222	82.883	6	225	1401	105	1.55e-50	Candida hungarica
NRRL_2536_metscf_2460	NG_063383	222	82.883	6	225	1402	105	1.55e-50	Kuraishia piskuri
NRRL_2536_metscf_2487	NG_063315	223	99.552	1	223	860	220	1.81e-114	Saccharomyces cerevisiae
NRRL_2536_metscf_2487	NG_063357	223	99.552	1	223	874	220	1.81e-114	Vanderwaltozyma polyspora
NRRL_2536_metscf_2487	NG_064876	223	99.552	1	223	911	220	1.81e-114	Saccharomyces cariocanus
NRRL_2536_metscf_2487	NG_064874	223	99.552	1	223	911	220	1.81e-114	Saccharomyces kudriavzevii;Saccharomyces mikatae
NRRL_2536_metscf_2487	NG_063104	223	99.552	1	223	911	220	1.81e-114	Saccharomyces bayanus;Saccharomyces paradoxus
