NRRL_1487_metscf_53	MH862281	128	96.094	88663	88789	189	112	2.22e-50	Syncephalastrum monosporum var. pluriproliferum
NRRL_1487_metscf_268	KF737866	910	82.637	4044	4948	3292	424	0.0	Pseudozyma sp. GHG001
NRRL_1487_metscf_268	KF737866	647	83.308	852	1481	3	306	1.20e-159	Pseudozyma sp. GHG001
NRRL_1487_metscf_268	KF737866	591	82.403	1618	2193	744	268	1.59e-138	Pseudozyma sp. GHG001
NRRL_1487_metscf_268	KF737866	396	81.061	2292	2683	1412	164	1.04e-80	Pseudozyma sp. GHG001
NRRL_1487_metscf_268	KF737866	422	78.673	3253	3664	2480	141	6.33e-68	Pseudozyma sp. GHG001
NRRL_1487_metscf_268	KF737866	120	92.500	5109	5228	4325	93	3.05e-41	Pseudozyma sp. GHG001
NRRL_1487_metscf_527	KT276332	327	90.826	1	326	4928	234	1.24e-120	Spathaspora sp. UFMG-CM-Y306
NRRL_1487_metscf_527	AB243296	326	90.798	1	325	5278	233	4.45e-120	Schizosaccharomyces japonicus
NRRL_1487_metscf_527	AY198400	327	90.520	1	326	5319	231	5.76e-119	Nakaseomyces delphensis
NRRL_1487_metscf_527	KT336720	327	90.520	1	326	4726	231	5.76e-119	Candida ranongensis
NRRL_1487_metscf_527	KT336722	327	90.520	1	326	4638	231	5.76e-119	Candida sp. NRRL Y-27665
NRRL_1487_metscf_527	KT336719	327	90.214	1	326	4680	228	2.68e-117	Candida neorugosa
NRRL_1487_metscf_527	FJ422506	326	90.184	1	326	5203	228	2.68e-117	Eremothecium sinecaudum
NRRL_1487_metscf_527	MT784100	326	89.877	1	325	5329	224	4.48e-115	Drosera intermedia
NRRL_1487_metscf_527	MF004311	326	89.877	1	325	5074	224	4.48e-115	Aspergillus keveii
NRRL_1487_metscf_527	AM943655	326	89.877	1	325	5281	224	4.48e-115	Zygosaccharomyces rouxii
NRRL_1487_metscf_957	AY198400	221	92.760	1	216	3076	169	5.48e-85	Nakaseomyces delphensis
NRRL_1487_metscf_957	FJ422506	216	91.667	1	216	2977	161	1.53e-80	Eremothecium sinecaudum
NRRL_1487_metscf_957	KU556168	215	91.628	2	216	1346	160	5.52e-80	Spathaspora hagerdaliae
NRRL_1487_metscf_957	EU552130	195	91.282	22	216	1223	143	1.56e-70	Saccharata capensis
NRRL_1487_metscf_957	EU040243	195	91.282	22	216	1091	142	5.60e-70	Toxicocladosporium irritans
NRRL_1487_metscf_957	EU019250	195	90.769	22	216	1154	140	7.24e-69	Stenella araguata
NRRL_1487_metscf_957	EU019278	195	90.769	22	216	1072	139	2.60e-68	Capnodiales sp. WQ-2013e
NRRL_1487_metscf_957	FJ664844	194	90.206	23	216	1443	137	3.37e-67	Verrucaria hydrophila
NRRL_1487_metscf_957	EU035427	195	90.256	22	216	1203	136	1.21e-66	Venturia catenospora
NRRL_1487_metscf_957	DQ923530	195	90.256	22	216	1183	136	1.21e-66	Elsinoe eucalyptorum
NRRL_1487_metscf_989	JQ231122	147	89.796	1	147	5043	102	9.49e-48	Collyriclum faba
NRRL_1487_metscf_989	KU710347	136	91.176	1	136	3469	100	1.23e-46	Epichloe sp. MC-2016a
NRRL_1487_metscf_989	MG491499	136	90.441	1	136	3467	97	5.71e-45	Coniochaeta hoffmannii
NRRL_1487_metscf_989	AM779859	136	90.441	1	136	1705	97	5.71e-45	Hypomyces robledoi
NRRL_1487_metscf_989	JX178915	147	85.034	1	147	2181	80	1.61e-35	Vorticella sp. 4 JG-2011
