contig	coverage
CBS_109400_metscf_3673	60.5266666666667
CBS_109400_metscf_9068	0
CBS_109400_metscf_4652	45.972972972973
CBS_109400_metscf_6393	0
CBS_109400_metscf_7595	7.78787878787879
CBS_109400_metscf_1386	867.569086651054
CBS_109400_metscf_6229	1.57647058823529
CBS_109400_metscf_5299	36.8653846153846
CBS_109400_metscf_3017	195.423963133641
CBS_109400_metscf_3907	70.5
CBS_109400_metscf_124	267.230503724968
CBS_109400_metscf_6992	0
CBS_109400_metscf_4575	8.9009009009009
CBS_109400_metscf_4112	85.416
CBS_109400_metscf_1797	878.423592493298
CBS_109400_metscf_5877	8.05494505494505
CBS_109400_metscf_2133	97.9105691056911
CBS_109400_metscf_884	252.52808988764
CBS_109400_metscf_7919	5.88888888888889
CBS_109400_metscf_6170	20.9883720930233
CBS_109400_metscf_923	269.73492379059
CBS_109400_metscf_2508	104.258928571429
CBS_109400_metscf_1298	115.04169468729
CBS_109400_metscf_2433	92.9217877094972
CBS_109400_metscf_1078	114.678842504744
CBS_109400_metscf_4831	8.73148148148148
CBS_109400_metscf_1502	107.689497716895
CBS_109400_metscf_8810	2.57894736842105
CBS_109400_metscf_1226	131.399759181216
CBS_109400_metscf_2333	103.910256410256
CBS_109400_metscf_8805	0
CBS_109400_metscf_1706	96.6774580335731
CBS_109400_metscf_995	281.278675904542
CBS_109400_metscf_2564	137.525316455696
CBS_109400_metscf_9061	0
CBS_109400_metscf_6081	20.0574712643678
CBS_109400_metscf_2998	136.036363636364
CBS_109400_metscf_7302	1.46376811594203
CBS_109400_metscf_6179	55.3372093023256
CBS_109400_metscf_4838	111.324074074074
CBS_109400_metscf_5214	46.4095238095238
CBS_109400_metscf_8532	25.7586206896552
CBS_109400_metscf_5590	0.618556701030928
CBS_109400_metscf_3742	529.910344827586
CBS_109400_metscf_5368	65.4563106796116
CBS_109400_metscf_3687	80.9328859060403
CBS_109400_metscf_6417	1.14634146341463
CBS_109400_metscf_8458	34.7457627118644
CBS_109400_metscf_6031	0
CBS_109400_metscf_8365	2.53333333333333
CBS_109400_metscf_1232	253.697758933979
CBS_109400_metscf_8075	0
CBS_109400_metscf_7937	14.6825396825397
CBS_109400_metscf_7261	0
CBS_109400_metscf_2194	96.9223946784922
CBS_109400_metscf_4777	88
CBS_109400_metscf_626	299.18467807661
CBS_109400_metscf_2144	233.731808731809
CBS_109400_metscf_88	246.792659663075
CBS_109400_metscf_7829	0.857142857142857
CBS_109400_metscf_6599	460.98717948718
CBS_109400_metscf_5593	2.42268041237113
CBS_109400_metscf_7163	7.4
CBS_109400_metscf_2555	95.18125
CBS_109400_metscf_93	257.332436069987
CBS_109400_metscf_5045	26.6728971962617
CBS_109400_metscf_4350	20.9137931034483
CBS_109400_metscf_1254	269.58592263792
CBS_109400_metscf_4957	95.6261682242991
CBS_109400_metscf_6591	33.6835443037975
CBS_109400_metscf_5960	1.94444444444444
CBS_109400_metscf_1394	247.386740331492
CBS_109400_metscf_6029	0.795454545454545
CBS_109400_metscf_3715	74.7414965986395
CBS_109400_metscf_3913	57.8970588235294
CBS_109400_metscf_4388	109.295652173913
CBS_109400_metscf_470	233.851881109904
CBS_109400_metscf_701	280.600447336316
CBS_109400_metscf_1286	131.957349081365
CBS_109400_metscf_8023	0
CBS_109400_metscf_8604	1
CBS_109400_metscf_4699	39.9818181818182
CBS_109400_metscf_2409	142.683923705722
CBS_109400_metscf_8417	6.38983050847458
CBS_109400_metscf_354	282.556192997941
CBS_109400_metscf_3031	201.971962616822
CBS_109400_metscf_6302	9.01204819277108
CBS_109400_metscf_3922	69.5185185185185
CBS_109400_metscf_2098	118.41796875
CBS_109400_metscf_9039	1.57142857142857
CBS_109400_metscf_3859	100.652173913043
CBS_109400_metscf_140	267.98747459819
CBS_109400_metscf_2895	97.6906779661017
CBS_109400_metscf_8702	0.551724137931034
CBS_109400_metscf_3846	61.3956834532374
CBS_109400_metscf_2147	247.341666666667
CBS_109400_metscf_5245	20.6666666666667
CBS_109400_metscf_6804	62.0266666666667
CBS_109400_metscf_9046	0.589285714285714
CBS_109400_metscf_7637	34.0769230769231
CBS_109400_metscf_5535	31.7474747474747
CBS_109400_metscf_8575	0
CBS_109400_metscf_3367	72.0116279069767
CBS_109400_metscf_6388	18.9634146341463
CBS_109400_metscf_5735	0.574468085106383
CBS_109400_metscf_5101	55.0849056603774
CBS_109400_metscf_2225	238.139588100686
CBS_109400_metscf_7839	0.761904761904762
CBS_109400_metscf_1180	130.558790593505
CBS_109400_metscf_7451	1.04477611940298
CBS_109400_metscf_5608	12.1443298969072
CBS_109400_metscf_3062	1.3047619047619
CBS_109400_metscf_5841	3.41304347826087
CBS_109400_metscf_8689	7.68965517241379
CBS_109400_metscf_3581	91.474358974359
CBS_109400_metscf_4460	1.09821428571429
CBS_109400_metscf_7728	12.78125
CBS_109400_metscf_51	284.67780419975
CBS_109400_metscf_5031	31.6728971962617
CBS_109400_metscf_1390	185.549528301887
CBS_109400_metscf_8005	0
CBS_109400_metscf_3025	66.1666666666667
CBS_109400_metscf_4993	70.803738317757
CBS_109400_metscf_2317	101.113350125945
CBS_109400_metscf_2459	467.145714285714
CBS_109400_metscf_5441	1.12871287128713
CBS_109400_metscf_3701	77.5945945945946
CBS_109400_metscf_120	333.354913411196
CBS_109400_metscf_4524	1.97297297297297
CBS_109400_metscf_3453	5.1566265060241
CBS_109400_metscf_3408	149.822485207101
CBS_109400_metscf_8070	0.693548387096774
CBS_109400_metscf_1790	644.247669773635
CBS_109400_metscf_8611	6.41379310344828
CBS_109400_metscf_8246	66.3
CBS_109400_metscf_8080	1.93548387096774
CBS_109400_metscf_2328	89.5688775510204
CBS_109400_metscf_3471	38.530487804878
CBS_109400_metscf_3927	72.1037037037037
CBS_109400_metscf_236	268.530551493629
CBS_109400_metscf_708	348.617543859649
CBS_109400_metscf_479	135.857643541903
CBS_109400_metscf_2518	101.041916167665
CBS_109400_metscf_5063	5.35849056603774
CBS_109400_metscf_6734	50.4736842105263
CBS_109400_metscf_3663	65.8741721854305
CBS_109400_metscf_6969	0
CBS_109400_metscf_4004	37.3969465648855
CBS_109400_metscf_5916	1.06666666666667
CBS_109400_metscf_8836	0.789473684210526
CBS_109400_metscf_6695	4.28571428571429
CBS_109400_metscf_4692	49.8363636363636
CBS_109400_metscf_6698	37.987012987013
CBS_109400_metscf_8601	1
CBS_109400_metscf_7716	36.5846153846154
CBS_109400_metscf_5879	54.2637362637363
CBS_109400_metscf_5743	0.680851063829787
CBS_109400_metscf_5225	2.21904761904762
CBS_109400_metscf_2283	246.122249388753
CBS_109400_metscf_5353	124.135922330097
CBS_109400_metscf_4950	200.607476635514
CBS_109400_metscf_405	265.523765843896
CBS_109400_metscf_7776	0
CBS_109400_metscf_2655	606.056338028169
CBS_109400_metscf_3633	56.2434210526316
CBS_109400_metscf_29	292.902124781418
CBS_109400_metscf_3514	314.658385093168
CBS_109400_metscf_4241	80.4166666666667
CBS_109400_metscf_22	321.420098922942
CBS_109400_metscf_9058	1
CBS_109400_metscf_5553	400.65306122449
CBS_109400_metscf_3386	75.7719298245614
CBS_109400_metscf_3546	43.1320754716981
CBS_109400_metscf_5826	13.7826086956522
CBS_109400_metscf_4786	1
